TH-2016-Hotel-Auditorium,Thai Hotel Schedule Set,EIT-2016-Hotel-Auditorium-Ventilation,EIT-2016-Hotel-Auditorium-People Definition,90.1-2007-Hotel-Auditorium-Lights Definition
TH-2016-Hotel-Restaurant-Dining,Thai Hotel Schedule Set,EIT-2016-Hotel-Restaurant-Dining-Ventilation,EIT-2016-Hotel-Restaurant-Dining-People Definition,90.1-2007-Hotel-Restaurant-Dining-Lights Definition
TH-2016-Hotel-Cafeteria/Fast-food dining,Thai Hotel Schedule Set,EIT-2016-Hotel-Cafeteria/Fast-food dining-Ventilation,EIT-2016-Hotel-Cafeteria/Fast-food dining-People Definition,90.1-2007-Hotel-Cafeteria/Fast-food dining-Lights Definition
TH-2016-Hotel-Bars/Lounge,Thai Hotel Schedule Set,EIT-2016-Hotel-Bars/Lounge-Ventilation,EIT-2016-Hotel-Bars/Lounge-People Definition,90.1-2007-Hotel-Bars/Lounge-Lights Definition
TH-2016-Hotel-Kitchen,Thai Hotel Schedule Set,EIT-2016-Hotel-Kitchen-Ventilation,EIT-2016-Hotel-Kitchen-People Definition,90.1-2007-Hotel-Kitchen-Lights Definition
TH-2016-Ent-Restaurant-Dining ,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Restaurant-Dining-Ventilation,EIT-2016-Ent-Restaurant-Dining-People Definition,90.1-2007-Ent-Restaurant-Dining-Lights Definition
TH-2016-Ent-Cafeteria/Fast-food dining,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Cafeteria/Fast-food dining-Ventilation,EIT-2016-Ent-Cafeteria/Fast-food dining-People Definition,90.1-2007-Ent-Cafeteria/Fast-food dining-Lights Definition
TH-2016-Ent-Bars/Lounge,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Bars/Lounge-Ventilation,EIT-2016-Ent-Bars/Lounge-People Definition,90.1-2007-Ent-Bars/Lounge-Lights Definition
TH-2016-Ent-Kitchen,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Kitchen-Ventilation,EIT-2016-Ent-Kitchen-People Definition,90.1-2007-Ent-Kitchen-Lights Definition
TH-2016-Ent-Corridor,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Corridor-Ventilation,EIT-2016-Ent-Corridor-People Definition,90.1-2007-Ent-Corridor-Lights Definition
TH-2016-Ent-Lobby,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Lobby-Ventilation,EIT-2016-Ent-Lobby-People Definition,90.1-2007-Ent-Lobby-Lights Definition
TH-2016-Ent-Office space,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Office space-Ventilation,EIT-2016-Ent-Office space-People Definition,90.1-2007-Ent-Office space-Lights Definition
TH-2016-Ent-Conference,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Conference-Ventilation,EIT-2016-Ent-Conference-People Definition,90.1-2007-Ent-Conference-Lights Definition
TH-2016-Dep-Sales ,Thai Department Store Schedule Set,EIT-2016-Dep-Sales-Ventilation,EIT-2016-Dep-Sales-People Definition,90.1-2007-Dep-Sales-Lights Definition
TH-2016-Dep-Mall common area,Thai Department Store Schedule Set,EIT-2016-Dep-Mall common area-Ventilation,EIT-2016-Dep-Mall common area-People Definition,90.1-2007-Dep-Mall common area-Lights Definition
TH-2016-Dep-Barbershop,Thai Department Store Schedule Set,EIT-2016-Dep-Barbershop-Ventilation,EIT-2016-Dep-Barbershop-People Definition,90.1-2007-Dep-Barbershop-Lights Definition
TH-2016-Dep-Beauty salon,Thai Department Store Schedule Set,EIT-2016-Dep-Beauty salon-Ventilation,EIT-2016-Dep-Beauty salon-People Definition,90.1-2007-Dep-Beauty salon-Lights Definition
TH-2016-Dep-Pet shop,Thai Department Store Schedule Set,EIT-2016-Dep-Pet shop-Ventilation,EIT-2016-Dep-Pet shop-People Definition,90.1-2007-Dep-Pet shop-Lights Definition
TH-2016-Dep-Supermarket,Thai Department Store Schedule Set,EIT-2016-Dep-Supermarket-Ventilation,EIT-2016-Dep-Supermarket-People Definition,90.1-2007-Dep-Supermarket-Lights Definition
TH-2016-Dep-Coin-operated laudries,Thai Department Store Schedule Set,EIT-2016-Dep-Coin-operated laudries-Ventilation,EIT-2016-Dep-Coin-operated laudries-People Definition,90.1-2007-Dep-Coin-operated laudries-Lights Definition
TH-2016-Dep-Shipping,Thai Department Store Schedule Set,EIT-2016-Dep-Shipping-Ventilation,EIT-2016-Dep-Shipping-People Definition,90.1-2007-Dep-Shipping-Lights Definition
TH-2016-Dep-Warehouse,Thai Department Store Schedule Set,EIT-2016-Dep-Warehouse-Ventilation,EIT-2016-Dep-Warehouse-People Definition,90.1-2007-Dep-Warehouse-Lights Definition
TH-2016-Dep-Photo studio,Thai Department Store Schedule Set,EIT-2016-Dep-Photo studio-Ventilation,EIT-2016-Dep-Photo studio-People Definition,90.1-2007-Dep-Photo studio-Lights Definition
TH-2016-Dep-Refrigeration area,Thai Department Store Schedule Set,EIT-2016-Dep-Refrigeration area-Ventilation,EIT-2016-Dep-Refrigeration area-People Definition,90.1-2007-Dep-Refrigeration area-Lights Definition
TH-2016-Dep-Bank vaults,Thai Department Store Schedule Set,EIT-2016-Dep-Bank vaults-Ventilation,EIT-2016-Dep-Bank vaults-People Definition,90.1-2007-Dep-Bank vaults-Lights Definition
TH-2016-Dep-Bank lobby,Thai Department Store Schedule Set,EIT-2016-Dep-Bank lobby-Ventilation,EIT-2016-Dep-Bank lobby-People Definition,90.1-2007-Dep-Bank lobby-Lights Definition
TH-2016-Dep-Corridor,Thai Department Store Schedule Set,EIT-2016-Dep-Corridor-Ventilation,EIT-2016-Dep-Corridor-People Definition,90.1-2007-Dep-Corridor-Lights Definition
TH-2016-Dep-Office space,Thai Department Store Schedule Set,EIT-2016-Dep-Office space-Ventilation,EIT-2016-Dep-Office space-People Definition,90.1-2007-Dep-Office space-Lights Definition
TH-2016-Dep-Conference,Thai Department Store Schedule Set,EIT-2016-Dep-Conference-Ventilation,EIT-2016-Dep-Conference-People Definition,90.1-2007-Dep-Conference-Lights Definition
TH-2016-Dep-Restaurant-Dining,Thai Department Store Schedule Set,EIT-2016-Dep-Restaurant-Dining-Ventilation,EIT-2016-Dep-Restaurant-Dining-People Definition,90.1-2007-Dep-Restaurant-Dining-Lights Definition
TH-2016-Dep-Coffee station,Thai Department Store Schedule Set,EIT-2016-Dep-Coffee stations-Ventilation,EIT-2016-Dep-Coffee station-People Definition,90.1-2007-Dep-Coffee station-Lights Definition
TH-2016-Dep-Cafeteria/Fast-food dining,Thai Department Store Schedule Set,EIT-2016-Dep-Cafeteria/Fast-food dining-Ventilation,EIT-2016-Dep-Cafeteria/Fast-food dining-People Definition,90.1-2007-Dep-Cafeteria/Fast-food dining-Lights Definition
TH-2016-Dep-Bars/Lounge,Thai Department Store Schedule Set,EIT-2016-Depl-Bars/Lounge-Ventilation,EIT-2016-Dep-Bars/Lounge-People Definition,90.1-2007-Dep-Bars/Lounge-Lights Definition
TH-2016-Dep-Kitchen,Thai Department Store Schedule Set,EIT-2016-Dep-Kitchen-Ventilation,EIT-2016-Dep-Kitchen-People Definition,90.1-2007-Dep-Kitchen-Lights Definition
